weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
38,EB,6,1127476096,5812983734,EPG(PB08)_L8,ER6(ring)_R,EPG_L,ER6_R,ER6,EPG,2158,0.017608897126969416,2771,0.013713460844460484,0.0027803521779425394,1194,447,0.013422818791946308,0.005025125628140704,ER6,EPG,ER,EPG,ER,EB Columnar
30,EB,4,665314820,1324430237,EPG(PB08)_L4,ER6(ring)_R,EPG_L,ER6_R,ER6,EPG,2216,0.013537906137184115,3156,0.009505703422053232,0.0018050541516245488,1320,487,0.008213552361396304,0.0030303030303030303,ER6,EPG,ER,EPG,ER,EB Columnar
14,EB,14,572870540,1198006801,EPG(PB08)_L1,ER4d(ring)_L,EPG_L,ER4d_L,ER4d,EPG,2051,0.006825938566552901,3665,0.003819918144611187,0.006825938566552901,1533,2041,0.006859382655560999,0.0091324200913242,ER4,EPG,ER,EPG,ER,EB Columnar
13,EB,13,387364605,1167977970,EPG(PB08)_L3,ER4m(ring)_L,EPG_L,ER4m_L,ER4m,EPG,1689,0.0076968620485494375,3725,0.00348993288590604,0.0076968620485494375,1789,1685,0.00771513353115727,0.0072666294019005035,ER4,EPG,ER,EPG,ER,EB Columnar
13,EB,13,387364605,1167645442,EPG(PB08)_L3,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1675,0.007761194029850746,3725,0.00348993288590604,0.007761194029850746,1789,1484,0.00876010781671159,0.0072666294019005035,ER4,EPG,ER,EPG,ER,EB Columnar
13,EB,13,758419409,1198326456,EPG(PB08)_L3,ER4m(ring)_R,EPG_L,ER4m_R,ER4m,EPG,1691,0.00768775872264932,3370,0.003857566765578635,0.00768775872264932,1603,1527,0.008513425016371971,0.008109794135995009,ER4,EPG,ER,EPG,ER,EB Columnar
13,EB,13,5813027103,5813050767,EPG(PB08)_R5,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.007278835386338186,2963,0.004387445156935539,0.007278835386338186,1404,1630,0.007975460122699387,0.009259259259259259,ER4,EPG,ER,EPG,ER,EB Columnar
13,EB,13,942491983,5813050767,EPG(PB08)_R6,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.007278835386338186,2849,0.004563004563004563,0.007278835386338186,1266,1630,0.007975460122699387,0.010268562401263823,ER4,EPG,ER,EPG,ER,EB Columnar
12,EB,12,1002507159,5813047793,EPG(PB08)_R7,ER4m(ring)_L,EPG_R,ER4m_L,ER4m,EPG,1530,0.00784313725490196,3052,0.003931847968545216,0.00784313725490196,1591,1522,0.00788436268068331,0.00754242614707731,ER4,EPG,ER,EPG,ER,EB Columnar
12,EB,12,478375456,5813050767,EPG(PB08)_R3,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1786,0.006718924972004479,2802,0.004282655246252677,0.006718924972004479,1569,1630,0.007361963190184049,0.0076481835564053535,ER4,EPG,ER,EPG,ER,EB Columnar
12,EB,12,942491983,5813053866,EPG(PB08)_R6,ER4m(ring)_R,EPG_R,ER4m_R,ER4m,EPG,1856,0.00646551724137931,2849,0.004212004212004212,0.00646551724137931,1266,1685,0.007121661721068249,0.009478672985781991,ER4,EPG,ER,EPG,ER,EB Columnar
11,EB,11,5813014873,1198006801,EPG(PB08)_R1,ER4d(ring)_L,EPG_R,ER4d_L,ER4d,EPG,2051,0.005363237445148708,3023,0.0036387694343367515,0.005363237445148708,1553,2041,0.005389514943655071,0.0070830650354153256,ER4,EPG,ER,EPG,ER,EB Columnar
