weight,roi,ROIweight,from,to,name.from,name.to,type.from,type.to,databaseType.to,databaseType.from,totalWeight,weightRelativeTotal,totalPreWeight,outputContributionTotal,weightROIRelativeTotal,totalPreROIweight,totalROIweight,weightRelative,outputContribution,supertype1.to,supertype1.from,supertype2.to,supertype2.from,supertype3.to,supertype3.from
57,EB,57,1198326456,449438847,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4595,0.012404787812840044,4285,0.013302217036172695,0.012404787812840044,4271,4070,0.014004914004914005,0.013345820650901428,EPG,ER4,EPG,ER,EB Columnar,ER
56,EB,56,1198671494,695629525,ER4m(ring)_L,EPG(PB08)_R2,ER4m_L,EPG_R,EPG,ER4m,4153,0.013484228268721405,4044,0.013847675568743818,0.013484228268721405,4041,3837,0.014594735470419598,0.013857955951497154,EPG,ER4,EPG,ER,EB Columnar,ER
52,EB,52,1292847181,449438847,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4595,0.011316648531011969,4263,0.012197982641332395,0.011316648531011969,4251,4070,0.012776412776412777,0.012232415902140673,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,5813049948,416642425,ER4m(ring)_L,EPG(PB08)_R4,ER4m_L,EPG_R,EPG,ER4m,3833,0.013305504826506652,4309,0.011835692736133673,0.013305504826506652,4309,3482,0.014646754738655945,0.011835692736133673,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,1167645442,449438847,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4595,0.011099020674646356,4226,0.012068149550402271,0.011099020674646356,4217,4070,0.01253071253071253,0.012093905620109082,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,5813050767,387364605,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4348,0.011729530818767249,4184,0.012189292543021032,0.011729530818767249,4163,3892,0.013103802672147996,0.012250780687004564,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,5813053866,541870397,ER4m(ring)_R,EPG(PB08)_L6,ER4m_R,EPG_L,EPG,ER4m,3916,0.013023493360572012,4568,0.0111646234676007,0.013023493360572012,4568,3477,0.014667817083692839,0.0111646234676007,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,5813053866,912545106,ER4m(ring)_R,EPG(PB08)_L2,ER4m_R,EPG_L,EPG,ER4m,4271,0.011940997424490752,4568,0.0111646234676007,0.011940997424490752,4568,3798,0.013428120063191154,0.0111646234676007,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,5813053866,449438847,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4595,0.011099020674646356,4568,0.0111646234676007,0.011099020674646356,4568,4070,0.01253071253071253,0.0111646234676007,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,5813053866,1447576662,ER4m(ring)_R,EPG(PB08)_L1,ER4m_R,EPG_L,EPG,ER4m,5107,0.00998629332289015,4568,0.0111646234676007,0.00998629332289015,4568,4615,0.01105092091007584,0.0111646234676007,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,5813053866,5813014873,ER4m(ring)_R,EPG(PB08)_R1,ER4m_R,EPG_R,EPG,ER4m,4099,0.012442059038789949,4568,0.0111646234676007,0.012442059038789949,4568,3775,0.013509933774834438,0.0111646234676007,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,1292847181,758419409,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4163,0.012250780687004564,4263,0.011963406052076003,0.012250780687004564,4251,3801,0.013417521704814523,0.011997177134791814,EPG,ER4,EPG,ER,EB Columnar,ER
51,EB,51,1292847181,910438331,ER4m(ring)_R,EPG(PB08)_R6,ER4m_R,EPG_R,EPG,ER4m,3738,0.013643659711075442,4263,0.011963406052076003,0.013643659711075442,4251,3481,0.01465096236713588,0.011997177134791814,EPG,ER4,EPG,ER,EB Columnar,ER
50,EB,50,5813049948,5813077544,ER4m(ring)_L,EPG(PB08)_R1,ER4m_L,EPG_R,EPG,ER4m,5176,0.009659969088098918,4309,0.011603620329542817,0.009659969088098918,4309,4842,0.010326311441553077,0.011603620329542817,EPG,ER4,EPG,ER,EB Columnar,ER
50,EB,50,1167645442,758419409,ER4m(ring)_R,EPG(PB08)_L3,ER4m_R,EPG_L,EPG,ER4m,4163,0.012010569300984866,4226,0.011831519167061051,0.012010569300984866,4217,3801,0.013154433043935806,0.011856770215793217,EPG,ER4,EPG,ER,EB Columnar,ER
