Type,Simpletype,regions,X index,color name,hex
ER1,yes,LAL,X14,lightpink1,#FFAEB9
ER2,yes,BUs,X32,turquoise4,#00868B
ER3a,yes,aBUi + LAL,X16,tomato3,#CD4F39
ER3d,yes,pBUi,X10,darkolivegreen3,#A2CD5A
ER3m,yes,aBUi,X7,darkgoldenrod1,#FFB90F
ER3p,yes,pBUi,X21,springgreen3,#00CD66
ER3w,yes,BUs,X35,steelblue1,#63B8FF
ER4d,yes,BUs,X6,dodgerblue,#1E90FF
ER4m,yes,BUa,X20,gold,#FFD700
ER5,yes,BUs (sleep),X36,blue,#0000FF
ER6,yes,BU + LAL + GA,X33,mediumorchid1,#E066FF
ER1_a,no,LAL,,,#ef8f9f
ER1_b,no,LAL,,,#FFAEB9
ER2_a,no,BUs,,,#00BAB5
ER2_b,no,BUs,,,#029393
ER2_c,no,BUs,,,#007070
ER2_d,no,BUs,,,#004945
ER3a_a,no,aBUi (+ LAL),,,#F98980
ER3a_b,no,LAL,,,#F9685D
ER3a_c,no,LAL,,,#CD4F39
ER3a_d,no,aBUi (+ LAL),,,#99392C
ER3d_a,no,pBUi,,,#BAE565
ER3d_b,no,pBUi,,,#A2CD5A
ER3d_c,no,pBUi,,,#90B24F
ER3d_d,no,pBUi,,,#748E3C
ER3m,no,aBUi,,,#FFB90F
ER3p_a,no,pBUi,,,#17E579
ER3p_b,no,pBUi,,,#00CD66
ER3w,no,BUs,,,#7DCAFF
ER4d,no,BUs,,,#188EEF
ER4m,no,BUa,,,#FFD700
ER5,no,BUs (sleep),,,#0000FF
ER6,no,BU + LAL + GA,,,#E066FF
