"","bodyid","pre","post","upstream","downstream","status","statusLabel","cropped","voxels","name","type","cellBodyFiber","soma"
"1",294800293,300,1009,1009,1518,"Traced","Roughly traced",FALSE,889808458,"FB7K^FB07a_R","FB7K","PDL05^SFS1",TRUE
"2",297183251,911,1321,1321,3700,"Traced","Roughly traced",FALSE,2007811064,"FB7A^FB07k_R","FB7A","PDL05^SFS1",TRUE
"3",327203386,633,1334,1334,2797,"Traced","Roughly traced",FALSE,1570838049,"FB7A^FB07b_R","FB7A","PDL05^SFS1",TRUE
"4",327730878,465,1286,1286,2443,"Traced","Roughly traced",FALSE,897205246,"FB6Z^FB06og_L","FB6Z","PDL05^SFS1",FALSE
"5",329289084,868,1809,1809,4203,"Traced","Roughly traced",FALSE,1543968730,"FB6G^FB06i_R","FB6G","PDL05^SFS1",TRUE
"6",420842989,283,522,522,1478,"Traced","Roughly traced",FALSE,527456482,"FB7K^FB07a_L","FB7K","PDL05^SFS1",FALSE
"7",422191200,1663,3403,3403,6556,"Traced","Roughly traced",FALSE,2496673367,"FB6A^FB06a_L","FB6A","PDL05^SFS1",FALSE
"8",422876942,1260,2152,2152,6237,"Traced","Roughly traced",FALSE,1324706057,"FB6E^FB06g_L","FB6E","PDL05^SFS1",FALSE
"9",452029745,1004,2013,2013,4491,"Traced","Roughly traced",FALSE,2530392544,"FB6I^FB06k_R","FB6I","PDL05^SFS1",TRUE
"10",513788774,922,2172,2172,5099,"Traced","Roughly traced",FALSE,2099142409,"FB6F^FB06h_R","FB6F","PDL05^SFS1",TRUE
"11",762222901,845,926,926,3701,"Traced","Roughly traced",FALSE,1510228112,"FB6C_b^FB06d_L","FB6C_b","PDL05^SFS1",FALSE
"12",915960391,1428,2977,2977,5193,"Traced","Roughly traced",FALSE,1400616395,"FB6H^FB06j_L","FB6H","PDL05^SFS1",FALSE
"13",915964590,849,1448,1448,4316,"Traced","Roughly traced",FALSE,1007475045,"FB6G^FB06i_L","FB6G","PDL05^SFS1",FALSE
"14",916288456,329,752,752,1666,"Traced","Roughly traced",FALSE,582296530,"FB7K^FB07a_L","FB7K","PDL05^SFS1",FALSE
"15",916292026,438,715,715,1891,"Traced","Roughly traced",FALSE,704114506,"FB7A^FB07b_L","FB7A","PDL05^SFS1",FALSE
"16",946308203,2266,5474,5474,8186,"Traced","Roughly traced",FALSE,4164148058,"FB6A^FB06a_R","FB6A","PDL05^SFS1",TRUE
"17",946641212,1404,3695,3695,6333,"Traced","Roughly traced",FALSE,3154053495,"FB6D^FB06e_R","FB6D","PDL05^SFS1",TRUE
"18",946645313,938,1242,1242,3746,"Traced","Roughly traced",FALSE,2319695343,"FB6C_a^FB06c_R","FB6C_a","PDL05^SFS1",TRUE
"19",946978006,830,1531,1531,4363,"Traced","Roughly traced",FALSE,1480308817,"FB6F^FB06h_L","FB6F","PDL05^SFS1",FALSE
"20",979065964,507,1712,1712,2634,"Traced","Roughly traced",FALSE,1380934341,"FB6Z^FB06og_R","FB6Z","PDL05^SFS1",TRUE
"21",1105955480,2207,3660,3660,8288,"Traced","Roughly traced",FALSE,2998692383,"FB6A^FB06a_L","FB6A","PDL05^SFS1",FALSE
"22",5813019588,1024,1419,1419,4530,"Traced","Roughly traced",FALSE,2658147354,"FB6C_b^FB06d_R","FB6C_b","PDL05^SFS1",TRUE
"23",5813020684,1486,4309,4309,5410,"Traced","Roughly traced",FALSE,2004542826,"FB6H^FB06j_R","FB6H","PDL05^SFS1",TRUE
"24",5813020735,725,1312,1312,2903,"Traced","Roughly traced",FALSE,1641744653,"FB7A^FB07b_R","FB7A","PDL05^SFS1",TRUE
"25",5813026514,1240,2946,2946,5445,"Traced","Roughly traced",FALSE,2055473145,"FB6D^FB06e_L","FB6D","PDL05^SFS1",FALSE
"26",5813049824,1326,2796,2796,6755,"Traced","Roughly traced",FALSE,2109877881,"FB6E^FB06g_R","FB6E","PDL05^SFS1",TRUE
"27",5813050747,774,917,917,3341,"Traced","Roughly traced",FALSE,1407995288,"FB6C_b^FB06d_L","FB6C_b","PDL05^SFS1",FALSE
"28",5813055834,1676,3752,3752,7060,"Traced","Roughly traced",FALSE,3659831073,"FB6A^FB06a_R","FB6A","PDL05^SFS1",TRUE
"29",5813057169,1023,1537,1537,4373,"Traced","Roughly traced",FALSE,2612948208,"FB6C_b^FB06d_R","FB6C_b","PDL05^SFS1",TRUE
"30",5813058367,974,1576,1576,4420,"Traced","Roughly traced",FALSE,1741500489,"FB6I^FB06k_L","FB6I","PDL05^SFS1",FALSE
"31",5813058368,791,913,913,3177,"Traced","Roughly traced",FALSE,1323273467,"FB7A^FB07k_L","FB7A","PDL05^SFS1",FALSE
"32",5813061177,1873,5245,5245,8864,"Traced","Roughly traced",FALSE,3044275552,"FB6A^FB06a_L","FB6A","PDL05^SFS1",FALSE
"33",5813061495,1983,6929,6929,9149,"Traced","Roughly traced",FALSE,4113681384,"FB6A^FB06a_R","FB6A","PDL05^SFS1",TRUE
"34",5813069331,926,1074,1074,3811,"Traced","Roughly traced",FALSE,1572923771,"FB6C_a^FB06c_L","FB6C_a","PDL05^SFS1",FALSE
"35",5813071027,884,989,989,3753,"Traced","Roughly traced",FALSE,1558952132,"FB6C_b^FB06d_L","FB6C_b","PDL05^SFS1",FALSE
"36",5813071028,623,699,699,2447,"Traced","Roughly traced",FALSE,1016854781,"FB7A^FB07b_L","FB7A","PDL05^SFS1",FALSE
"37",5813081818,319,941,941,1709,"Traced","Roughly traced",FALSE,906535818,"FB7K^FB07a_R","FB7K","PDL05^SFS1",TRUE
